Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
1MM6,FUNDAMENTOS DE ELECTRONICA,TRUJILLO FRANCO LUIS GERARDO,5,518,,10:30-12:00,10:30-12:00,10:30-12:00,,
1MM6,INGLES I,SANCHEZ SOLIS LIZZETH,3,312,15:00-16:30,,15:00-16:30,,,
1MM7,CIRCUITOS ELECTRICOS AVANZADOS,CASTAÑEDA GALVAN ADRIAN ANTONIO,5,527,09:00-10:30,,10:30-12:00,,09:00-10:30,
1MM7,ELECTRICIDAD Y MAGNETISMO,SIN ASIGNAR,5,537,,10:30-12:00,09:00-10:30,09:00-10:30,,
1MM7,FUNDAMENTOS DE ELECTRONICA,VILLAMAR MARTÍNEZ LUIS ARMANDO,3,313,15:00-16:30,,13:30-15:00,13:30-15:00,,
1MM7,INGLES I,SANCHEZ SOLIS LIZZETH,3,313,,,16:30-18:00,15:00-16:30,,
1MM8,INGLES II,SANCHEZ SOLIS LIZZETH,3,308,,,,16:30-18:00,16:30-18:00,
1MM8,RESISTENCIA DE MATERIALES,ESCAMILLA NAVARRO ALEJANDRO,3,322,07:30-09:00,07:30-09:00,07:30-09:00,,,
1MM9,INGLES II,SANCHEZ SOLIS LIZZETH,3,307,,,,13:30-15:00,15:00-16:30,
2MM1,ANALISIS DE SEÑALES Y SISTEMAS,VELAZQUEZ VELAZQUEZ JUAN EDUARDO,5,518,09:00-10:30,09:00-10:30,,,09:00-10:30,
2MM1,ANALISIS Y SINTESIS DE MECANISMOS,VERGARA HERNANDEZ ERASTO,3,312,13:30-15:00,,13:30-15:00,13:30-15:00,,
2MM1,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA,GONZALEZ SIERRA JAIME,5,518,12:00-13:30,12:00-13:30,,12:00-13:30,,
2MM1,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA,CRUZ CASTRO JUAN,,,,,,,,
2MM2,ANALISIS DE SEÑALES Y SISTEMAS,TRUJILLO FRANCO LUIS GERARDO,5,537,13:30-15:00,09:00-10:30,12:00-13:30,,,
2MM2,ANALISIS Y SINTESIS DE MECANISMOS,GARCIA TOVAR ENRIQUE ARTURO,5,517,12:00-13:30,12:00-13:30,,10:30-12:00,,
2MM2,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA,GONZALEZ SIERRA JAIME,5,503,07:30-09:00,07:30-09:00,,07:30-09:00,,
2MM2,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA,LOPEZ GRIJALBA YUNUEN,,,,,,,,
2MM3,ELECTRONICA ANALOGICA,TRUJILLO FRANCO LUIS GERARDO,3,328,,13:30-15:00,,09:00-10:30,12:00-13:30,
2MM3,ELECTRONICA ANALOGICA,ROA TORT KAREN,,,,,,,,
2MM3,OSCILACIONES Y OPTICA,ESCAMILLA ROA JESUS,5,527,12:00-13:30,,13:30-15:00,,09:00-10:30,
2MM3,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA,LEDESMA ORTIZ JAIME,5,512,10:30-12:00,10:30-12:00,,13:30-15:00,,
2MM3,PROGRAMACION AVANZADA,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,512,,12:00-13:30,12:00-13:30,,,
2MM3,SIMULACION ELECTRONICA Y DISEÑO DE CIRCUITOS IMPRESOS,OLIVA MORENO LUZ NOE,5,527,13:30-15:00,,,12:00-13:30,,
2MM3,TERMODINAMICA,DOMÍNGUEZ CRESPO MIGUEL ANTONIO,3,322,09:00-10:30,09:00-10:30,09:00-10:30,,,
2MM4,OSCILACIONES Y OPTICA,ESCAMILLA ROA JESUS,3,313,,10:30-12:00,,07:30-09:00,07:30-09:00,
2MM4,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA,LEDESMA ORTIZ JAIME,5,512,12:00-13:30,12:00-13:30,13:30-15:00,,,
2MM4,SIMULACION ELECTRONICA Y DISEÑO DE CIRCUITOS IMPRESOS,OLIVA MORENO LUZ NOE,5,527,,13:30-15:00,12:00-13:30,,,
2MM5,ADMINISTRACION ORGANIZACIONAL,VERA ROMERO JUAN,5,531,,,13:30-15:00,10:30-12:00,,
2MM5,CIRCUITOS LOGICOS,ABARCA JIMENEZ GRISELDA STEPHANY,5,531,12:00-13:30,12:00-13:30,,13:30-15:00,,
2MM5,DISEÑO BASICO DE ELEMENTOS DE MAQUINAS,LOPEZ GRIJALBA YUNUEN,5,531,,10:30-12:00,10:30-12:00,,13:30-15:00,
2MM5,DISEÑO BASICO DE ELEMENTOS DE MAQUINAS,CRUZ CASTRO JUAN,,,,,,,,
2MM5,INGLES III,SANCHEZ SOLIS LIZZETH,5,503,18:00-19:30,18:00-19:30,,,,
2MM5,MECANICA DE FLUIDOS,CRUZ CASTRO JUAN,5,522,09:00-10:30,,09:00-10:30,,,
2MM5,"MICROPROCESADORES, MICROCONTROLADORES E INTERFAZ",RIVERA FERNANDEZ JOSUE DANIEL,5,511,13:30-15:00,,,12:00-13:30,10:30-12:00,
2MM5,TEORIA ELECTROMAGNETICA,ANDRACA ADAME JOSE ALBERTO,3,312,07:30-09:00,,07:30-09:00,,07:30-09:00,
2MM7,DISPOSITIVOS LOGICOS PROGRAMABLES,GUZMAN DOMINGUEZ ISAAC,5,517,12:00-13:30,,,,12:00-13:30,
2MM7,INGLES III,SANCHEZ SOLIS LIZZETH,5,503,16:30-18:00,16:30-18:00,,,,
2MM7,MAQUINAS ELECTRICAS,VERGARA HERNANDEZ ERASTO,5,531,10:30-12:00,,12:00-13:30,,,
2MM7,MAQUINAS ELECTRICAS,GUDIÑO SANCHEZ JESUS,,,,,,,,
2MM7,NEUMATICA E HIDRAULICA,CRUZ CASTRO JUAN,5,531,,09:00-10:30,,,09:00-10:30,
2MM7,NEUMATICA E HIDRAULICA,HERNANDEZ GARDUÑO JUAN,,,,,,,,
2MM7,SENSORES Y ACONDICIONADORES DE SEÑAL,VILLAMAR MARTÍNEZ LUIS ARMANDO,3,312,,12:00-13:30,,12:00-13:30,,
2MM8,LIDERAZGO Y EMPRENDEDORES,MORA RODRIGUEZ JOSÉ ALEJANDRO,5,532,09:00-10:30,,,07:30-09:00,,
2MM8,SISTEMAS NEURODIFUSOS,CALDERON OSORNO JOSE LUIS,5,517,,,12:00-13:30,12:00-13:30,,
3MM1,ETICA PARA EL EJERCICIO PROFESIONAL,VERA ROMERO JUAN,5,521,,,,09:00-10:30,09:00-10:30,
3MM1,MODELADO Y SIMULACION DE SISTEMAS MECATRONICOS,GALVAN GUERRA ROSALBA,5,503,,13:30-15:00,12:00-13:30,,,
3MM2,CONTROL CLASICO,GONZALEZ SIERRA JAIME,5,532,13:30-15:00,10:30-12:00,,,07:30-09:00,
3MM2,INSTRUMENTACION VIRTUAL,GARCIA TOVAR ENRIQUE ARTURO,5,517,,13:30-15:00,,13:30-15:00,,
3MM2,DISEÑO AVANZADO DE ELEMENTOS DE MAQUINAS,LOPEZ GRIJALBA YUNUEN,5,533,09:00-10:30,,09:00-10:30,09:00-10:30,,
3MM2,FINANZAS E INGENIERIA ECONOMICA,LEDESMA ORTIZ JAIME,5,527,,,,10:30-12:00,10:30-12:00,
3MM3,PROCESADOR DIGITAL DE SEÑALES,FABILA BUSTOS DIEGO ADRIAN,3,313,,,,10:30-12:00,10:30-12:00,
3MM3,PROYECTO INTEGRADOR,MARES CARREÑO JESUS,3,328,10:30-12:00,10:30-12:00,,,,
3MM4,AUTOMATAS INDUSTRIALES,MARES CARREÑO JESUS,3,328,12:00-13:30,12:00-13:30,,,,
3MM4,TOPICOS AVANZADOS DE SENSORES,ABARCA JIMENEZ GRISELDA STEPHANY,5,537,07:30-09:00,07:30-09:00,,,07:30-09:00,
3MM5,PRODUCCION MAS LIMPIA,ESCAMILLA LOPEZ FRANCISCO JAVIER,5,521,12:00-13:30,12:00-13:30,,,12:00-13:30,
3MM5,PROTOCOLOS AVANZADOS DE COMUNICACIONES,ILIZALITURRI FLORES IAN,5,521,,,09:00-10:30,,13:30-15:00,
3MM7,AUTOMATIZACION INDUSTRIAL,VERGARA HERNANDEZ ERASTO,5,531,,,07:30-09:00,07:30-09:00,07:30-09:00,
3MM7,INGENIERIA AMBIENTAL,ESCAMILLA LOPEZ FRANCISCO JAVIER,5,522,07:30-09:00,07:30-09:00,,,,
3MM8,SISTEMAS OPERATIVOS EN TIEMPO REAL,CASTAÑEDA GALVAN ADRIAN ANTONIO,5,522,13:30-15:00,,,10:30-12:00,13:30-15:00,
3MM9,GRAFICACION EN 3D,KINANI . JEAN MARIE VIANNEY,3,318,13:30-15:00,,,10:30-12:00,13:30-15:00,
3MM11,INGENIERIA AMBIENTAL,ESCAMILLA LOPEZ FRANCISCO JAVIER,5,522,10:30-12:00,,,13:30-15:00,,
4MM1,ELECTRONICA DE POTENCIA,CASTAÑEDA GALVAN ADRIAN ANTONIO,5,521,10:30-12:00,09:00-10:30,,,,
4MM2,INGENIERIA ASISTIDA POR COMPUTADORA,MARES CARREÑO JESUS,5,517,,,10:30-12:00,09:00-10:30,09:00-10:30,
4MM2,PROYECTOS DE INVERSION,VERA ROMERO JUAN,3,328,13:30-15:00,,,13:30-15:00,,
4MM3,CONTROL DE SISTEMAS MECATRONICOS,OCHOA GALVAN BLANCA MARGARITA,5,532,,,13:30-15:00,12:00-13:30,12:00-13:30,
4MM3,METODOLOGIA DE LA INVESTIGACION,HERNANDEZ GARCIA DR. DOMINGO,5,528,,12:00-13:30,10:30-12:00,,09:00-10:30,
4MM3,SISTEMAS DE VISION ARTIFICIAL,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,511,09:00-10:30,10:30-12:00,,,,
4MM4,VISION ARTIFICIAL APLICADA,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,511,,09:00-10:30,09:00-10:30,09:00-10:30,,
4MM5,MICROCONTROLADORES AVANZADOS,FABILA BUSTOS DIEGO ADRIAN,5,511,,13:30-15:00,12:00-13:30,09:00-10:30,,
4MM6,INTEGRACION DE UN SISTEMA ROBOTICO,CEA MONTUFAR CESAR EDUARDO,3,307,15:00-16:30,,13:30-15:00,12:00-13:30,,
4MM6,CONTROL DE SISTEMAS ROBOTICOS,VELAZQUEZ VELAZQUEZ JUAN EDUARDO,5,532,,12:00-13:30,10:30-12:00,10:30-12:00,,
4MM7,INSTRUMENTACION VIRTUAL APLICADA,GARCIA TOVAR ENRIQUE ARTURO,5,513,,09:00-10:30,10:30-13:30,,,
4MM7,PROYECTO DE SISTEMAS EMBEBIDOS,OLIVA MORENO LUZ NOE,5,538,10:30-12:00,,13:30-15:00,13:30-15:00,,
4MM8,REALIDAD VIRTUAL,KINANI . JEAN MARIE VIANNEY,3,317,,09:00-10:30,09:00-10:30,09:00-10:30,,
5MM1,CONTROL DE MAQUINAS ELECTRICAS,VERGARA HERNANDEZ ERASTO,5,531,12:00-13:30,,,,10:30-12:00,
5MM2,TRABAJO TERMINAL I,MARES CARREÑO JESUS,3,307,,15:00-18:00,15:00-18:00,15:00-16:30,,
5MM3,TRABAJO TERMINAL II,GUZMAN DOMINGUEZ ISAAC,5,508,,15:00-18:00,15:00-16:30,15:00-18:00,,
5SM1,ELEMENTOS MECANICOS AUTOMOTRICES,HERNANDEZ GARDUÑO JUAN,5,528,09:00-10:30,10:30-12:00,10:30-12:00,,,
5SM1,ELEMENTOS MECANICOS AUTOMOTRICES,GUDIÑO SANCHEZ JESUS,,,,,,,,
5SM1,SISTEMAS AUTOMOTRICES,SIN ASIGNAR,5,528,12:00-13:30,,,13:30-15:00,10:30-12:00,
5SM1,SISTEMAS AUTOMOTRICES,ZAMORA HERNANDEZ JOSE,,,,,,,,
5SM1,TRANSFERENCIA DE CALOR,MÁRQUEZ ROCHA FACUNDO JOAQUÍN,5,528,,,09:00-10:30,07:30-09:00,07:30-09:00,
5SM1,TRANSFERENCIA DE CALOR,PALMA RAMIREZ DIANA,,,,,,,,
5SM1,ELECTRICIDAD Y ELECTRONICA AUTOMOTRIZ,ZAMORA HERNANDEZ JOSE,9,1,07:30-09:00,09:00-10:30,,,12:00-13:30,
5SM1,MODELADO Y SIMULACION ASISTIDOS POR COMPUTADORA,HERNANDEZ GARDUÑO JUAN,5,513,,12:00-13:30,12:00-13:30,12:00-13:30,,
5SM1,MODELADO Y SIMULACION ASISTIDOS POR COMPUTADORA,AVILES VILLAREAL RODRIGO,,,,,,,,
5SM1,METROLOGIA Y NORMALIZACION,ARRIAGA MEJIA GERMAN,5,528,10:30-12:00,,,09:00-10:30,09:00-10:30,
5SM1,METROLOGIA Y NORMALIZACION,MORA RODRIGUEZ JOSÉ ALEJANDRO,,,,,,,,
2SM1,CALCULO VECTORIAL,TOLEDO SESMA LEONEL,3,322,15:00-16:30,15:00-16:30,15:00-16:30,,15:00-16:30,
2SM1,ECUACIONES DIFERENCIALES,OLGUIN IGLESIAS ALEJANDRO,3,321,,10:30-12:00,,13:30-15:00,12:00-13:30,
2SM1,ELECTRICIDAD Y MAGNETISMO,ARRIAGA MEJIA GERMAN,5,527,09:00-10:30,09:00-10:30,09:00-10:30,,10:30-12:00,
2SM1,ELECTRICIDAD Y MAGNETISMO,ESCAMILLA ROA JESUS,,,,,,,,
2SM1,HUMANIDADES II: LA COMUNICACION Y LA ING.,MORA RODRIGUEZ JOSÉ ALEJANDRO,3,321,07:30-09:00,07:30-09:00,,,,
2SM1,METODOS NUMERICOS,RIVERA FERNANDEZ JOSUE DANIEL,3,321,10:30-12:00,13:30-15:00,10:30-12:00,10:30-12:00,,
2SM1,METODOS NUMERICOS,AVILES VILLAREAL RODRIGO,,,,,,,,
2SM1,QUIMICA APLICADA,PALMA RAMIREZ DIANA,3,321,12:00-13:30,12:00-13:30,,12:00-13:30,,
2SM1,QUIMICA APLICADA,HERNANDEZ CHAVEZ MACARIA,,,,,,,,
2SM2,ECUACIONES DIFERENCIALES,ESCAMILLA ESQUIVEL ADOLFO,3,312,09:00-10:30,,10:30-12:00,09:00-10:30,,
2SM2,HUMANIDADES II: LA COMUNICACION Y LA ING.,ALCANTARA OROZCO ANGELICA,5,521,,,12:00-13:30,,09:00-10:30,
2SM2,QUIMICA APLICADA,PALMA RAMIREZ DIANA,3,321,15:00-16:30,15:00-16:30,15:00-16:30,,,
3SM1,ANALISIS DE CIRCUITOS DE C.D. Y C.A,GONZALEZ SIERRA JAIME,3,321,09:00-10:30,09:00-10:30,09:00-10:30,,09:00-10:30,
3SM1,ANALISIS DE CIRCUITOS DE C.D. Y C.A,OLIVA MORENO LUZ NOE,,,,,,,,
3SM1,DINAMICA DE FLUIDOS,CRUZ CASTRO JUAN,3,327,,07:30-09:00,07:30-09:00,07:30-09:00,07:30-09:00,
3SM1,DINAMICA DE FLUIDOS,LOPEZ GRIJALBA YUNUEN,,,,,,,,
3SM1,ESTATICA,CERRO RAMIREZ MIGUEL ANGEL,5,522,07:30-09:00,10:30-12:00,10:30-12:00,,10:30-12:00,
3SM1,HUMANIDADES III:DESARROLLO HUMANO,ALCANTARA OROZCO ANGELICA,5,522,,,,12:00-13:30,12:00-13:30,
3SM1,TERMODINAMICA I,DOMÍNGUEZ CRESPO MIGUEL ANTONIO,5,528,,12:00-13:30,12:00-13:30,09:00-10:30,,
3SM1,TERMODINAMICA I,ARRIAGA MEJIA GERMAN,,,,,,,,
3SM1,INTRO. A LA CIENCIA DE LOS MATERIALES,GARCIA HERNANDEZ MARGARITA,5,521,12:00-15:00,13:30-15:00,,,,
3SM1,INTRO. A LA CIENCIA DE LOS MATERIALES,CRUZ RAMIREZ ALEJANDRO,,,,,,,,
4SM1,DINAMICA,GARCIA SANCHEZ SILVESTRE ASCENCION,5,523,12:00-13:30,12:00-13:30,,10:30-12:00,10:30-12:00,
4SM1,ELECTRONICA I,CALDERON OSORNO JOSE LUIS,5,523,09:00-10:30,,09:00-10:30,09:00-10:30,,
4SM1,ELECTRONICA I,LOZADA REYES FABIAN EFRAIN,,,,,,,,
4SM1,TERMODINAMICA II,MÁRQUEZ ROCHA FACUNDO JOAQUÍN,5,523,,09:00-10:30,12:00-13:30,12:00-13:30,12:00-13:30,
4SM1,TERMODINAMICA II,ESCAMILLA ROA JESUS,,,,,,,,
4SM1,OLEONEUMATICA,CRUZ CASTRO JUAN,5,523,10:30-12:00,10:30-12:00,10:30-12:00,,,
4SM1,OLEONEUMATICA,AVILES VILLAREAL RODRIGO,,,,,,,,
4SM1,PROBABILIDAD Y ESTADISTICA,LEDESMA ORTIZ JAIME,3,318,07:30-09:00,07:30-09:00,07:30-09:00,,,
4SM1,RESISTENCIA DE LOS MATERIALES I,LOPEZ GRIJALBA YUNUEN,5,523,13:30-15:00,,13:30-15:00,13:30-15:00,,
4SM1,RESISTENCIA DE LOS MATERIALES I,CRUZ CASTRO JUAN,,,,,,,,
5SM1,ELEMENTOS MECANICOS AUTOMOTRICES,HERNANDEZ GARDUÑO JUAN,5,528,09:00-10:30,10:30-12:00,10:30-12:00,,,
5SM1,ELEMENTOS MECANICOS AUTOMOTRICES,GUDIÑO SANCHEZ JESUS,,,,,,,,
5SM1,SISTEMAS AUTOMOTRICES,SIN ASIGNAR,5,528,12:00-13:30,,,13:30-15:00,10:30-12:00,
5SM1,SISTEMAS AUTOMOTRICES,ZAMORA HERNANDEZ JOSE,,,,,,,,
5SM1,TRANSFERENCIA DE CALOR,MÁRQUEZ ROCHA FACUNDO JOAQUÍN,5,528,,,09:00-10:30,07:30-09:00,07:30-09:00,
5SM1,TRANSFERENCIA DE CALOR,PALMA RAMIREZ DIANA,,,,,,,,
5SM1,ELECTRICIDAD Y ELECTRONICA AUTOMOTRIZ,ZAMORA HERNANDEZ JOSE,9,1,07:30-09:00,09:00-10:30,,,12:00-13:30,
5SM1,MODELADO Y SIMULACION ASISTIDOS POR COMPUTADORA,HERNANDEZ GARDUÑO JUAN,5,513,,12:00-13:30,12:00-13:30,12:00-13:30,,
5SM1,MODELADO Y SIMULACION ASISTIDOS POR COMPUTADORA,AVILES VILLAREAL RODRIGO,,,,,,,,
5SM1,METROLOGIA Y NORMALIZACION,ARRIAGA MEJIA GERMAN,5,528,10:30-12:00,,,09:00-10:30,09:00-10:30,
5SM1,METROLOGIA Y NORMALIZACION,MORA RODRIGUEZ JOSÉ ALEJANDRO,,,,,,,,
6SM1,DISEÑO AUTOMOTRIZ,SIN ASIGNAR,9,1,10:30-12:00,,09:00-10:30,10:30-12:00,,
6SM1,DINAMICA DE VEHICULO,SIN ASIGNAR,3,311,09:00-10:30,13:30-15:00,10:30-12:00,,,
6SM1,DINAMICA DE VEHICULO,ZAMORA HERNANDEZ JOSE,,,,,,,,
6SM1,MOTORES DE COMBUSTION INTERNA,SIN ASIGNAR,9,1,,,07:30-09:00,09:00-10:30,09:00-10:30,
6SM1,"SISTEMAS DE DIRECCION, SUSPENSION Y FRENOS",ZAMORA HERNANDEZ JOSE,9,1,12:00-13:30,12:00-13:30,,,10:30-12:00,
6SM1,TREN MOTRIZ,SIN ASIGNAR,9,1,,10:30-12:00,,12:00-13:30,13:30-15:00,
6SM1,TREN MOTRIZ,ZAMORA HERNANDEZ JOSE,,,,,,,,
6SM1,PROCESOS DE MANUFACTURA AUTOMOTRIZ,MENDEZ RAMOS MARIO,5,528,13:30-15:00,09:00-10:30,13:30-15:00,,,
6SM1,PROCESOS DE MANUFACTURA AUTOMOTRIZ,GUDIÑO SANCHEZ JESUS,,,,,,,,
7SM1,TEORIA DE CONTROL,VELAZQUEZ VELAZQUEZ JUAN EDUARDO,5,537,12:00-13:30,,13:30-15:00,,12:00-13:30,
7SM1,ELECTRONICA OPERACIONAL Y DE POTENCIA,VILLAMAR MARTÍNEZ LUIS ARMANDO,3,308,10:30-12:00,10:30-12:00,,10:30-12:00,10:30-12:00,
7SM1,INTERFACES Y MICRO CONTROLADORES,RIVERA FERNANDEZ JOSUE DANIEL,5,532,,07:30-09:00 09:00-10:30,09:00-10:30,07:30-09:00,,
7SM1,TOPICOS SELECTOS DE INGENIERIA I,GALVAN GUERRA ROSALBA,5,537,09:00-10:30,12:00-13:30,,12:00-13:30,,
7SM2,TECNOLOGIA DE MATERIALES AUTOMOTRIZ,HERNANDEZ CHAVEZ MACARIA,5,522,13:30-15:00,09:00-10:30,,09:00-10:30,,
7SM2,TECNOLOGIA DE MATERIALES AUTOMOTRIZ,CRUZ RAMIREZ ALEJANDRO,,,,,,,,
7SM2,TECNOLOGIA DE LA SOLDADURA,MENDEZ RAMOS MARIO,5,538,09:00-10:30 10:30-12:00,,09:00-10:30,10:30-12:00,,
7SM2,PROCESOS DE CONFORMADO,MENDEZ RAMOS MARIO,5,538,,10:30-13:30,,,10:30-12:00 12:00-13:30,
7SM2,PROCESOS DE CONFORMADO,CRUZ RAMIREZ ALEJANDRO,,,,,,,,
7SM2,TOPICOS SELECTOS DE INGENIERIA I,ROA TORT KAREN,5,538,12:00-13:30,,,07:30-09:00,09:00-10:30,
7SM2,TOPICOS SELECTOS DE INGENIERIA I,CRUZ RAMIREZ ALEJANDRO,,,,,,,,
