Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
1MM1,ALGEBRA LINEAL Y NUMEROS COMPLEJOS,GARCIA SANCHEZ SILVESTRE ASCENCION,3,301,10:30-12:00,10:30-12:00,10:30-12:00,,,
1MM1,CALCULO DIFERENCIAL E INTEGRAL,OLGUIN IGLESIAS ALEJANDRO,3,301,07:30-09:00,07:30-09:00,07:30-09:00,07:30-09:00,,
1MM1,DIBUJO ASISTIDO POR COMPUTADORA,HERNANDEZ GARDUÑO JUAN,5,513,,,,10:30-12:00,12:00-13:30,
1MM1,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES,HERNANDEZ CHAVEZ MACARIA,3,301,,13:30-15:00,13:30-15:00,,13:30-15:00,
1MM1,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES,PALMA RAMIREZ DIANA,,,,,,,,
1MM1,HERRAMIENTAS COMPUTACIONALES,TRUJILLO FRANCO LUIS GERARDO,5,513,12:00-13:30,,,,10:30-12:00,
1MM1,HERRAMIENTAS COMPUTACIONALES,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,,,,,,,,
1MM1,INTRODUCCION A LA MECATRONICA,ROA TORT KAREN,3,301,,12:00-13:30,12:00-13:30,,,
1MM1,INTRODUCCION A LA MECATRONICA,GONZALEZ SIERRA JAIME,,,,,,,,
1MM1,INTRODUCCION A LA PROGRAMACION,ESCOBAR PIO ABRAHAM,5,512,,,,09:00-10:30,07:30-10:30,
1MM1,INTRODUCCION A LA PROGRAMACION,LEDESMA ORTIZ JAIME,,,,,,,,
1MM1,MECANICA DE LA PARTICULA,ESCAMILLA ROA JESUS,3,301,09:00-10:30,09:00-10:30,09:00-10:30,,,
1MM2,ALGEBRA LINEAL Y NUMEROS COMPLEJOS,OLGUIN IGLESIAS ALEJANDRO,3,308,09:00-10:30,09:00-10:30,09:00-10:30,,,
1MM2,CALCULO DIFERENCIAL E INTEGRAL,VEGA BLANCO MANUEL VLADIMIR,3,308,12:00-13:30,12:00-13:30,12:00-13:30,,13:30-15:00,
1MM2,DIBUJO ASISTIDO POR COMPUTADORA,HERNANDEZ GARDUÑO JUAN,5,513,13:30-15:00,,,13:30-15:00,,
1MM2,DIBUJO ASISTIDO POR COMPUTADORA,GUDIÑO SANCHEZ JESUS,,,,,,,,
1MM2,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES,HERNANDEZ CHAVEZ MACARIA,3,308,10:30-12:00,10:30-12:00,10:30-12:00,,,
1MM2,HERRAMIENTAS COMPUTACIONALES,TRUJILLO FRANCO LUIS GERARDO,5,511,,,,12:00-13:30,07:30-09:00,
1MM2,HERRAMIENTAS COMPUTACIONALES,ROA TORT KAREN,,,,,,,,
1MM2,INTRODUCCION A LA MECATRONICA,RIVERA FERNANDEZ JOSUE DANIEL,3,308,,,,09:00-10:30,09:00-10:30,
1MM2,INTRODUCCION A LA PROGRAMACION,ESCOBAR PIO ABRAHAM,5,512,,,,07:30-09:00,10:30-13:30,
1MM2,INTRODUCCION A LA PROGRAMACION,AVILES VILLAREAL RODRIGO,,,,,,,,
1MM2,MECANICA DE LA PARTICULA,SIN ASIGNAR,3,328,07:30-09:00,13:30-15:00,13:30-15:00,,,
1MM3,ALGEBRA LINEAL Y NUMEROS COMPLEJOS,OLGUIN IGLESIAS ALEJANDRO,3,322,12:00-13:30,12:00-13:30,12:00-13:30,,,
1MM3,CALCULO DIFERENCIAL E INTEGRAL,VEGA BLANCO MANUEL VLADIMIR,3,311,15:00-16:30,15:00-16:30,,15:00-16:30,15:00-16:30,
1MM3,INTRODUCCION A LA PROGRAMACION,ESCOBAR PIO ABRAHAM,5,512,,07:30-09:00,07:30-10:30,,,
1MM3,INTRODUCCION A LA PROGRAMACION,AVILES VILLAREAL RODRIGO,,,,,,,,
1MM3,MECANICA DE LA PARTICULA,GARCIA SANCHEZ SILVESTRE ASCENCION,3,313,09:00-10:30,09:00-10:30,,09:00-10:30,,
1MM4,ANALISIS Y DISEÑO DE PROGRAMAS,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,511,13:30-15:00,,,,09:00-10:30,
1MM4,CALCULO VECTORIAL,GALVAN GUERRA ROSALBA,5,518,07:30-09:00,07:30-09:00,07:30-09:00,07:30-09:00,,
1MM4,CIRCUITOS ELECTRICOS,ROA TORT KAREN,5,503,,,,13:30-15:00,13:30-15:00,
1MM4,CIRCUITOS ELECTRICOS,TRUJILLO FRANCO LUIS GERARDO,,,,,,,,
1MM4,ECUACIONES DIFERENCIALES,TOLEDO SESMA LEONEL,5,521,,10:30-12:00,10:30-12:00,10:30-12:00,,
1MM4,COMUNICACION ORAL Y ESCRITA,MORA RODRIGUEZ JOSÉ ALEJANDRO,5,503,10:30-12:00,12:00-13:30,,,07:30-09:00,
1MM4,MECANICA DEL CUERPO RIGIDO,CERRO RAMIREZ MIGUEL ANGEL,5,503,09:00-10:30,09:00-10:30,09:00-10:30,,,
1MM4,PROCESO DE MANUFACTURA,HERNANDEZ GARDUÑO JUAN,5,507,12:00-13:30,,,09:00-10:30,10:30-12:00,
1MM4,PROCESO DE MANUFACTURA,GUDIÑO SANCHEZ JESUS,,,,,,,,
1MM5,ANALISIS Y DISEÑO DE PROGRAMAS,KINANI . JEAN MARIE VIANNEY,5,513,07:30-09:00,,,,07:30-09:00,
1MM5,CALCULO VECTORIAL,TOLEDO SESMA LEONEL,3,327,12:00-13:30,12:00-13:30,,12:00-13:30,12:00-13:30,
1MM5,CIRCUITOS ELECTRICOS,GONZALEZ SIERRA JAIME,5,521,,,07:30-09:00,13:30-15:00,,
1MM5,CIRCUITOS ELECTRICOS,LOZADA REYES FABIAN EFRAIN,,,,,,,,
1MM5,ECUACIONES DIFERENCIALES,OLGUIN IGLESIAS ALEJANDRO,3,327,13:30-15:00,,10:30-12:00,,10:30-12:00,
1MM5,COMUNICACION ORAL Y ESCRITA,FLORES SUAREZ MONICA EDHALI,3,327,,10:30-12:00,12:00-13:30,10:30-12:00,,
1MM5,MECANICA DEL CUERPO RIGIDO,CERRO RAMIREZ MIGUEL ANGEL,3,312,10:30-12:00,,,09:00-10:30,09:00-10:30,
1MM5,PROCESO DE MANUFACTURA,HERNANDEZ GARDUÑO JUAN,5,507,,13:30-15:00,13:30-15:00,,13:30-15:00,
1MM5,PROCESO DE MANUFACTURA,MARES CARREÑO JESUS,,,,,,,,
1MM6,CIRCUITOS ELECTRICOS AVANZADOS,VILLAMAR MARTÍNEZ LUIS ARMANDO,3,313,,13:30-15:00,12:00-13:30,,12:00-13:30,
1MM6,ELECTRICIDAD Y MAGNETISMO,TOLEDO SESMA LEONEL,3,327,10:30-12:00,,09:00-10:30,09:00-10:30,,
